[OK] collected=42 -> data/comments.csv (dedup)
[1] 2026-01-25T09:25:55+00:00 | - | [#9e9v] うーん、デカすぎる 2026-01-25 (日) 18:25:55 [ID:m-92z6-6f28-aidi]
[19] 2026-01-26T02:43:37+00:00 | - | [#649z] 遺物困ったらとりあえず入れとけと言えるくらいには骨強い 2026-01-26 (月) 11:43:37 [ID:m-euyq-ea39-8aof
[20] 2026-01-26T05:58:08+00:00 | - | [#5xqt] 特に調整は必要ないぐらいには完成してるキャラだけど混成魔法はもうちょいなんかあってもいいよなあとは思う 2026-01-26 (月) 14:58
[21] 2026-01-26T07:06:33+00:00 | - | [#f1qc] 混成で遊べればゲーム性広がるのに色選べないのがね 2026-01-26 (月) 16:06:33 [ID:m-raz6-9fb8-el9o]
[22] 2026-01-26T08:27:34+00:00 | - | [#416b] 現環境良いよね。前みたいに隠者なら結晶で瞬コロしなきゃって圧が無いトレイン。ハルハル近接マン達がそれ以上のダメージ出してくれるから楽… 2026
[23] 2026-01-26T08:32:18+00:00 | - | [#1110] 自分がグノスター担当してフォルティス組が15分かけて倒すの普通に嫌だったわ わざわざ強化グノにするのもなって思ったけど戦闘時間間延びしただけで前
[24] 2026-01-26T10:25:18+00:00 | - | [#2qdh] ハルハルの方が火力出る！って意見よく聞くんだけどサイスがぶっ壊れてるだけでリスクとDPSで言ったら隠者がいまだに最強なんじゃないか？ やっぱ味方
[25] 2026-01-26T10:54:28+00:00 | - | [#bmjy] マジでプレイスタイルとしては大分完成してると思う。魔力特化すればほぼ好きな魔術使えるし、回避もFP回収もめちゃくちゃ強い。混成魔法選べて撃てたら
[26] 2026-01-26T14:54:02+00:00 | - | [#b0ds] 初期溶岩弾ビルドが完成してしまったから深度5グノスターに出してみた グノスターには可もなく不可もなくだったけど道中がね…明確な強みが騎士系までの
[27] 2026-01-26T16:49:53+00:00 | - | [#aedk] 夜つぶてに変更無しで不可視特化にしてるけど個人的にこれがベストだわ。遠距離魔術としては重力と比較されるけどアンコモンで入手時期が早いのと蘇生もで
[28] 2026-01-26T19:54:50+00:00 | - | [#40yh] こいつって今表遺物どうしたらいいんだろうか 正直欲しいの固有3種＋侵入だけだから骨使えば2枠で収まるんだよな 結晶、封牢付けてるけどそのふたつ今
[29] 2026-01-26T22:31:51+00:00 | - | [#8u6r] 夜侵入かマリスかな 最大HP上げるメリットはワンパン回避以外にも被弾後に聖杯1個で全回復出来るかとかにも関わってくるからワンパン回避出来れば不要
[30] 2026-01-26T22:39:32+00:00 | - | [#sfic] 特化しないなら固有3種にそれぞれ魔力+2×2と侵入ついたやつ探すかな これで2枠ずつだから、残り1枠×3に特化、撃破アーツ、FP補強、生命力あた
[31] 2026-01-27T03:42:19+00:00 | - | [#9dmu] 赤ハルもちょっとおすすめかも。どうせ喰らったら一撃死だからそれを無効化してくれるのは有難い。エストが一本丸々浮くのもあり。さっきも常エデレで命救
[32] 2026-01-27T03:08:04+00:00 | - | [#dlj3] マリス用のプリセット考えてるんだけど通常をフルゴ骨赤ハルでストームルーラーの火力高めて裏は適当に魔強、属強積んでおけばええか 2026-01-2
[33] 2026-01-27T03:38:38+00:00 | - | [#5oab] 隠者は睡眠耐性、睡眠耐性+1で大技で睡眠発症しなくなるからこの2つ積めるとベター。大技がまるまる蘇生時間に使えるからキャリーもしやすくてオススメ
[34] 2026-01-27T10:59:04+00:00 | - | [#5ht8] 表…アーツ最大HP/アーツ出血/アーツ蓄積+5/魔攻+3/結晶強化×1 裏…魔術強化+2×2/魔攻+3/最大HP×3 今ある遺物だとこんな感じだ
[35] 2026-01-27T14:23:11+00:00 | - | [#1l0t] 自然蓄積より倒した時アーツ蓄積の方がいいと思います 2026-01-27 (火) 23:23:11 [ID:m-eeob-f849-9mbk] 
[36] 2026-01-27T14:51:35+00:00 | - | [#b5m6] 特化はもう厳しいのかな。結晶4回連続で出なかった。今流行りの構成とかありますか？ 2026-01-27 (火) 23:51:35 [ID:m-b
[37] 2026-01-27T16:01:56+00:00 | - | [#djxr] 初期魔術:魔術の輝剣で輝剣強化積むビルド強い…強くないかこれ。速効性は無いが連射出来るし、威力中々なのに消費も少なく撃った後自由に動ける。後撃ち
[38] 2026-01-28T01:06:19+00:00 | - | [#5zqb] アプデ前から輝剣特化ビルドでカンスト維持してるけど、正直結晶よりおすすめできると思います。遺物構成が完成したら、付帯と合わせて一発１０００ダメ以
[39] 2026-01-28T01:32:59+00:00 | - | [#aal3] 初期魔術輝剣 + 深層に魔力攻撃+12相当 + 輝剣特化*5 積んでる人いたけど普通に強かった 火力としてはルーサット並みって感じだったけど、使
[40] 2026-01-28T03:45:11+00:00 | - | [#65sv] 誰か茨特化作れた夜渡りいたら教えて欲しいんだけど、遺物効果の優先度ってどんな感じ？体力減るからアーツの回転率上げるべきか悩んでる。あと、出血蓄積
[41] 2026-01-28T06:01:18+00:00 | - | [#d1vb] 茨は拒絶の刺来たら一気にメジャービルドになりそうなんだがなぁ… 2026-01-28 (水) 15:01:18 [ID:m-28pt-962a-
[42] 2026-01-28T07:03:10+00:00 | - | [#6uyj] 茨と魔力が重なるやつ何個かあったから前に試したけど、大して火力上がらんかったんだよな。アーツ回転率に関しては積みたいけど、アーツ中に茨数十発撃て
